age_group,country,first_trip_tz,ID,info_source,main_activity,most_impressing,Sum of night_mainland,Sum of night_zanzibar,package_accomodation,package_food,package_guided_tour,package_insurance,package_sightseeing,package_transport_int,package_transport_tz,payment_mode,purpose,Sum of total_cost,Sum of Total_days,Sum of total_female,Sum of total_male,Sum of Total_tourists,tour_arrangement,travel_with
1-24,CHINA,Yes,tour_1150,"Friends, relatives",Beach tourism,Friendly People,24,3,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,2486250,27,0,1,1,Independent,Uknown
1-24,CHINA,Yes,tour_2253,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",14,7,No,No,No,No,No,No,No,Cash,Volunteering,3414450,21,0,1,1,Independent,Uknown
1-24,CHINA,Yes,tour_230,"Friends, relatives",Beach tourism, Wildlife,10,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,6630000,10,1,1,2,Independent,Friends/Relatives
1-24,CHINA,Yes,tour_2703,"Friends, relatives",Hunting tourism,No comments,39,3,No,No,No,No,No,No,No,Cash,Volunteering,1657500,42,4,2,6,Independent,Friends/Relatives
1-24,CHINA,Yes,tour_3400,"Travel, agent, tour operator",Wildlife tourism, Wildlife,4,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,116025,4,0,1,1,Independent,Uknown
1-24,CHINA,Yes,tour_3918,"Friends, relatives",Beach tourism, Wildlife,1,3,No,No,No,No,No,No,No,Cash,Leisure and Holidays,74587.5,4,1,0,1,Independent,Uknown
1-24,CHINA,Yes,tour_4004,"Newspaper, magazines,brochures",Beach tourism,Excellent Experience,0,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4143750,10,0,1,1,Independent,Uknown
1-24,CHINA,Yes,tour_546,"Travel, agent, tour operator",Wildlife tourism, Wildlife,23,7,No,No,No,No,No,No,No,Cash,Volunteering,16163940,30,2,0,2,Independent,Friends/Relatives
1-24,CHINA,Yes,tour_5718,"Travel, agent, tour operator",Wildlife tourism,Friendly People,3,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,4475250,3,1,0,1,Package Tour,Alone
1-24,CHINA,Yes,tour_715,"Travel, agent, tour operator",Beach tourism, Wildlife,39,5,Yes,Yes,No,No,No,No,Yes,Cash,Leisure and Holidays,9580350,44,1,1,2,Package Tour,Friends/Relatives
1-24,CHINA,Yes,tour_961,"Travel, agent, tour operator",Wildlife tourism,Excellent Experience,10,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,281775,15,0,2,2,Independent,Friends/Relatives
1-24,COLOMBIA,Yes,tour_1996,inflight magazines,Wildlife tourism,Friendly People,4,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,15580500,4,1,0,1,Package Tour,Alone
1-24,CZECH REPUBLIC,No,tour_1760,"Travel, agent, tour operator",Cultural tourism,Good service,10,7,Yes,Yes,No,No,Yes,Yes,Yes,Credit Card,Leisure and Holidays,29923840,17,2,1,3,Package Tour,Friends/Relatives
1-24,CZECH REPUBLIC,Yes,tour_2286,"Friends, relatives",Cultural tourism,No comments,15,3,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4538660,18,0,1,1,Independent,Alone
1-24,DEMOCRATIC REPUBLIC OF THE CONGO,No,tour_3169,"Newspaper, magazines,brochures",Wildlife tourism,Excellent Experience,2,0,No,No,No,No,No,No,No,Cash,Business,210000,2,0,1,1,Independent,Uknown
1-24,DEMOCRATIC REPUBLIC OF THE CONGO,No,tour_6374,"Friends, relatives",Wildlife tourism,Friendly People,1,0,No,No,No,No,No,No,No,Cash,Business,526000,1,0,1,1,Independent,Alone
1-24,DEMOCRATIC REPUBLIC OF THE CONGO,Yes,tour_4478,"Friends, relatives",Wildlife tourism,No comments,2,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,110000,2,1,0,1,Independent,Uknown
1-24,DENMARK,No,tour_1921,"Friends, relatives",Cultural tourism,No comments,30,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,600000,30,1,0,1,Independent,Alone
1-24,DENMARK,No,tour_2987,"Newspaper, magazines,brochures",Cultural tourism,No comments,3,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,828750,3,1,0,1,Independent,Alone
1-24,DENMARK,No,tour_3904,"Travel, agent, tour operator",Beach tourism, Wildlife,40,6,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,3315000,46,1,0,1,Independent,Uknown
1-24,DENMARK,Yes,tour_1032,"Friends, relatives",Beach tourism,No comments,15,7,No,No,No,No,No,No,No,Cash,Scientific and Academic,400000,22,2,2,4,Independent,Friends/Relatives
1-24,DENMARK,Yes,tour_2470,"Travel, agent, tour operator",Conference tourism,Friendly People,10,6,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Leisure and Holidays,76742250,16,1,0,1,Package Tour,Friends/Relatives
1-24,DENMARK,Yes,tour_289,"Friends, relatives",Wildlife tourism,Good service,16,5,No,No,No,No,No,No,No,Cash,Meetings and Conference,2519400,21,0,2,2,Independent,Friends/Relatives
1-24,DENMARK,Yes,tour_3545,"Newspaper, magazines,brochures",Beach tourism,Friendly People,3,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1176825,10,0,1,1,Independent,Uknown
1-24,DENMARK,Yes,tour_3962,"Travel, agent, tour operator",Hunting tourism,Friendly People,14,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,75333375,28,0,1,1,Package Tour,Alone
1-24,DENMARK,Yes,tour_3963,"Travel, agent, tour operator",Conference tourism,Good service,14,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card,Leisure and Holidays,75333375,28,0,1,1,Package Tour,Alone
1-24,DENMARK,Yes,tour_4169,"Travel, agent, tour operator",Beach tourism,Friendly People,23,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1176825,30,1,0,1,Independent,Uknown
1-24,DENMARK,Yes,tour_4546,"Travel, agent, tour operator",Conference tourism,Good service,9,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,6630000,14,2,0,2,Independent,Friends/Relatives
1-24,DENMARK,Yes,tour_4595,others,Beach tourism,"Wonderful Country, Landscape, Nature",0,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3563625,7,1,1,2,Independent,Spouse
1-24,DENMARK,Yes,tour_4976,Tanzania Mission Abroad,Wildlife tourism,Friendly People,63,0,No,No,No,No,No,No,No,Cash,Volunteering,600000,63,1,0,1,Independent,Uknown
1-24,DENMARK,Yes,tour_5028,"Newspaper, magazines,brochures",Wildlife tourism,"Wonderful Country, Landscape, Nature",11,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,2154750,11,0,1,1,Independent,Uknown
1-24,DENMARK,Yes,tour_5030,"Newspaper, magazines,brochures",Wildlife tourism, Wildlife,11,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1939275,11,1,0,1,Independent,Uknown
1-24,DENMARK,Yes,tour_5921,"Travel, agent, tour operator",Conference tourism,Good service,14,14,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,75333375,28,0,1,1,Package Tour,Alone
1-24,DENMARK,Yes,tour_872,"Travel, agent, tour operator",Wildlife tourism, Wildlife,5,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3000000,10,0,2,2,Independent,Friends/Relatives
1-24,EGYPT,Yes,tour_1040,"Travel, agent, tour operator",Bird watching,No comments,2,0,Yes,No,No,No,No,Yes,No,Cash,Visiting Friends and Relatives,2320500,2,0,1,1,Package Tour,Alone
1-24,FINLAND,Yes,tour_3919,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",1,9,No,No,No,No,No,No,No,Cash,Leisure and Holidays,919912.5,10,1,0,1,Independent,Uknown
1-24,FRANCE,No,tour_2160,"Friends, relatives",Hunting tourism,No comments,40,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,497250,40,0,1,1,Independent,Alone
1-24,FRANCE,No,tour_4923,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",14,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,17403750,14,1,1,2,Package Tour,Friends/Relatives
1-24,FRANCE,Yes,tour_1036,others,Conference tourism,"Wonderful Country, Landscape, Nature",11,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,6961500,14,0,1,1,Package Tour,Uknown
1-24,FRANCE,Yes,tour_1242,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,7,Yes,Yes,Yes,No,No,Yes,No,Cash,Leisure and Holidays,15580500,14,2,1,3,Package Tour,Spouse and Children
1-24,FRANCE,Yes,tour_2182,"Travel, agent, tour operator",Conference tourism,Friendly People,13,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4226625,13,1,0,1,Independent,Uknown
1-24,FRANCE,Yes,tour_2608,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",51,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,165750,51,1,0,1,Independent,Uknown
1-24,FRANCE,Yes,tour_2702,"Friends, relatives",Wildlife tourism, Wildlife,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,5635500,14,1,1,2,Package Tour,Friends/Relatives
1-24,FRANCE,Yes,tour_3202,"Friends, relatives",Wildlife tourism,Friendly People,14,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1657500,14,1,1,2,Independent,Friends/Relatives
1-24,FRANCE,Yes,tour_3661,"Friends, relatives",Wildlife tourism,No comments,10,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3149250,16,0,1,1,Independent,Alone
1-24,FRANCE,Yes,tour_3717,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",13,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,26520000,16,4,2,6,Package Tour,Spouse and Children
1-24,FRANCE,Yes,tour_4490,"Travel, agent, tour operator",Cultural tourism,No comments,0,10,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,11800516,10,1,1,2,Package Tour,Spouse
1-24,FRANCE,Yes,tour_4955,"Friends, relatives",Conference tourism,No comments,13,0,No,No,No,No,No,No,No,Cash,Volunteering,6807990,13,2,2,4,Independent,Friends/Relatives
1-24,FRANCE,Yes,tour_566,"Newspaper, magazines,brochures",Cultural tourism,No comments,10,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,11460116.5,15,1,1,2,Independent,Spouse
1-24,FRANCE,Yes,tour_5679,"Friends, relatives",Conference tourism,"Wonderful Country, Landscape, Nature",55,5,No,No,No,No,No,No,No,Cash,Volunteering,3857861,60,1,0,1,Independent,Uknown
1-24,FRANCE,Yes,tour_5837,"Travel, agent, tour operator",Wildlife tourism, Wildlife,5,6,Yes,No,No,No,Yes,Yes,Yes,Cash,Leisure and Holidays,2486250,11,1,1,2,Package Tour,Spouse
1-24,FRANCE,Yes,tour_5956,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",6,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,6807990,12,2,3,5,Package Tour,Spouse and Children
1-24,GERMANY,No,tour_233,"Friends, relatives",Hunting tourism,Friendly People,3,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,650000,3,1,0,1,Independent,Uknown
1-24,GERMANY,No,tour_2498,"Travel, agent, tour operator",Beach tourism, Wildlife,7,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,725540,13,1,0,1,Independent,Alone
1-24,GERMANY,No,tour_3550,"Friends, relatives",Cultural tourism,Friendly People,15,4,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,567332.5,19,3,1,4,Independent,Friends/Relatives
1-24,GERMANY,No,tour_4403,"Travel, agent, tour operator",Beach tourism,Excellent Experience,11,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1300000,15,1,0,1,Independent,Uknown
1-24,GERMANY,No,tour_446,"Friends, relatives",Beach tourism,No comments,27,2,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,680799,29,1,0,1,Independent,Uknown
1-24,GERMANY,No,tour_4944,others,Conference tourism, Wildlife,7,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3861975,12,1,0,1,Independent,Uknown
1-24,GERMANY,No,tour_5435,"Travel, agent, tour operator",Wildlife tourism,Good service,11,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,2269330,11,0,1,1,Independent,Alone
1-24,GERMANY,No,tour_5440,"Friends, relatives",Cultural tourism,Friendly People,16,9,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1650000,25,1,0,1,Independent,Uknown
1-24,GERMANY,No,tour_5762,"Travel, agent, tour operator",Beach tourism,Friendly People,0,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,726185.6,16,1,1,2,Package Tour,Spouse
1-24,GERMANY,Yes,tour_1034,"Friends, relatives",Wildlife tourism,Good service,24,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,453866,28,1,0,1,Independent,Uknown
1-24,GERMANY,Yes,tour_1079,"Friends, relatives",Beach tourism,No comments,22,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,2269330,22,2,2,4,Independent,Friends/Relatives
1-24,GERMANY,Yes,tour_1805,"Friends, relatives",Cultural tourism,Friendly People,10,4,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,497250,14,1,0,1,Independent,Uknown
1-24,GERMANY,Yes,tour_2383,"Newspaper, magazines,brochures",Cultural tourism,No comments,130,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9945000,140,3,0,3,Independent,Friends/Relatives
1-24,GERMANY,Yes,tour_3489,"Travel, agent, tour operator",Wildlife tourism, Wildlife,6,3,Yes,Yes,Yes,No,No,No,Yes,Cash,Leisure and Holidays,3315000,9,1,0,1,Package Tour,Alone
